Columna;Especie;Origen;Altitud;Variety;método;color
1;Arabica;China;1450;Catimor;Washed / Wet;Green
2;Arabica;Costa Rica;1300;Caturra;Washed / Wet;Green
3;Arabica;Brazil;1250;Bourbon;Natural / Dry;Green
4;Arabica;Uganda;1950;SL14;Washed / Wet;Green
5;Arabica;Honduras;1400;Caturra;;Green
6;Arabica;Taiwan;1200;Sumatra;Pulped natural / honey;Green
7;Arabica;Brazil;1300;Bourbon;Natural / Dry;Green
8;Arabica;Costa Rica;1300;Caturra;Washed / Wet;Blue-Green
9;Arabica;Kenya;1800;SL34;Washed / Wet;Blue-Green
10;Arabica;Thailand;1300;Caturra;Washed / Wet;Green
11;Arabica;Taiwan;1000;Bourbon;Semi-washed / Semi-pulped;Green
12;Arabica;Kenya;1754;SL28;Natural / Dry;Bluish-Green
13;Arabica;Brazil;1250;Bourbon;Semi-washed / Semi-pulped;Blue-Green
14;Arabica;Colombia;900;Caturra;Washed / Wet;Green
15;Arabica;Kenya;1520;SL28;Washed / Wet;Green
16;Arabica;Uganda;1400;SL14;Natural / Dry;Green
17;Arabica;Colombia;1800;Caturra;Washed / Wet;Blue-Green
18;Arabica;Panama;1600;Gesha;Washed / Wet;Bluish-Green
19;Arabica;Guatemala;5000;Bourbon;Washed / Wet;Green
20;Arabica;Guatemala;4650;Catuai;Washed / Wet;Bluish-Green
21;Arabica;El Salvador;1500;Bourbon;Washed / Wet;Blue-Green
22;Arabica;Kenya;1900;SL28;Natural / Dry;Green
23;Arabica;Uganda;1600;SL14;Washed / Wet;Green
24;Arabica;Guatemala;5600;Bourbon;Washed / Wet;Green
25;Arabica;Uganda;1950;SL14;Washed / Wet;Green
26;Arabica;Brazil;1250;Bourbon;Semi-washed / Semi-pulped;Blue-Green
27;Arabica;China;1700;Catimor;Natural / Dry;Green
28;Arabica;Guatemala;1770;Pacamara;Natural / Dry;Green
29;Arabica;Costa Rica;1300;Caturra;Washed / Wet;Bluish-Green
30;Arabica;Costa Rica;1300;Caturra;Washed / Wet;Bluish-Green
31;Arabica;Kenya;1600;SL34;Washed / Wet;Green
32;Arabica;Kenya;1200;SL34;Washed / Wet;Green
33;Arabica;Colombia;1550;Caturra;Washed / Wet;Green
34;Arabica;Colombia;1550;Caturra;Natural / Dry;Green
35;Arabica;Indonesia;1250;Sumatra Lintong;Semi-washed / Semi-pulped;Green
36;Arabica;Colombia;2136;Caturra;Natural / Dry;Green
37;Arabica;Uganda;1800;SL14;Washed / Wet;Green
38;Arabica;Costa Rica;1900;Catuai;Washed / Wet;Green
39;Arabica;Mexico;1300;Typica;Washed / Wet;Green
40;Arabica;Kenya;1580;SL34;Washed / Wet;Green
41;Arabica;Brazil;1100;Mundo Novo;Natural / Dry;Green
42;Arabica;Colombia;1950;Caturra;Washed / Wet;Green
43;Arabica;Taiwan;800;Typica;Semi-washed / Semi-pulped;Green
44;Arabica;Colombia;1600;Caturra;Washed / Wet;Green
45;Arabica;Brazil;1200;Bourbon;Natural / Dry;Green
46;Arabica;Brazil;1000;Catuai;Natural / Dry;Green
47;Arabica;Taiwan;350;Typica;Natural / Dry;Green
48;Arabica;Uganda;1400;SL14;Natural / Dry;Green
49;Arabica;Kenya;1800;SL34;Washed / Wet;Green
50;Arabica;Honduras;1450;Catuai;Washed / Wet;Green
51;Arabica;El Salvador;1350;Bourbon;Washed / Wet;Blue-Green
52;Arabica;Indonesia;1200;Java;Washed / Wet;Green
53;Arabica;Japan;170;Mundo Novo;Pulped natural / honey;Green
